"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"129","Rui Hachimura","Was","F","25.1","30","24.3","23.2","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.3","113.7"
"130","Dennis Schroder","Lal","G","29.5","61","30.7","18.6","14.7","233","0.871","399","0.461","214","0.341","0.479","0.552","13","2.5","4.6","0.8","0.1","1.7","15.5","17.5","20.1","6.9","112","111.1"
"131","Cole Anthony","Orl","G","22.9","55","25.7","21.5","12.6","160","0.894","367","0.493","188","0.362","0.51","0.567","12.9","4.7","3.9","0.6","0.5","1.5","17.6","16.7","21.4","9.6","116.9","106.4"
"132","Alec Burks","Det","G","31.7","51","22","22.7","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.8","112.6"
"133","Kenyon Martin Jr.","Hou","F","22.2","75","27.7","16.6","11.9","199","0.678","450","0.687","202","0.312","0.619","0.637","12.6","5.5","1.5","0.5","0.4","1.2","18.1","14.1","19.6","6.8","124.7","116.3"
"134","Jabari Smith Jr.","Hou","F","19.9","72","30.7","18.5","11","185","0.778","434","0.486","369","0.309","0.476","0.513","12.6","7.1","1.2","0.5","0.9","1.4","19.7","13.8","20.9","6.2","106.3","112"
"135","Nic Claxton","Bro","F-C","23.9","70","29.6","15.6","14.2","230","0.53","536","0.703","2","0","0.701","0.685","12.5","9.2","1.8","0.8","2.5","1.3","21.7","14.4","23.5","8","132.3","105.5"
"136","Tre Jones","San","G","23.2","61","29.1","19.4","12.9","149","0.866","524","0.492","143","0.266","0.472","0.518","12.4","3.5","6.3","1.3","0.1","1.6","15.9","18.8","22.2","8.9","113.7","118.5"
"137","Jordan Nwora","Ind","F","24.5","17","22.7","21.4","11.9","28","0.714","93","0.527","69","0.449","0.59","0.605","12.4","4.4","2","0.6","0.3","1.3","16.8","14.4","18.8","8.4","114.6","114.4"
"138","Derrick White","Bos","G","28.7","75","28.4","17.4","10.4","172","0.872","336","0.545","354","0.387","0.563","0.605","12.4","3.5","4","0.7","0.9","1.1","15.9","16.4","19.9","7.9","126.1","107.7"
"139","Kelly Olynyk","Uta","F-C","31.9","62","28.3","17.6","22.4","209","0.856","284","0.574","217","0.392","0.58","0.641","12.3","5.9","3.5","0.9","0.5","2.3","18.1","15.8","21.6","9","118.4","106.1"
"140","Austin Reaves","Lal","G","24.8","57","28.3","16","17.2","224","0.857","236","0.623","188","0.378","0.598","0.669","12.3","3","3.2","0.5","0.3","1.5","15.3","15.4","18.5","6.9","126.2","112.4"
"141","Mason Plumlee","Cha","F-C","33.1","56","28.5","15.7","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134.1","106.4"
"142","Lonnie Walker IV","Lal","G-F","24.3","53","24.3","20.2","8.1","106","0.858","275","0.524","246","0.362","0.533","0.569","12.2","2","1.2","0.6","0.3","0.9","14.2","13.4","15.4","5.1","110.6","113.1"
"143","Thomas Bryant","Lal","C-F","25.7","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.2","105.3"
"144","Clint Capela","Atl","C","28.9","59","26.7","15.8","8.9","114","0.605","493","0.653","1","0","0.652","0.655","12.1","11.2","0.9","0.7","1.3","0.8","23.3","13","24.2","7.4","137.9","108.2"
"145","Bones Hyland","Den","G","22.5","42","19.5","28.5","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.2","110.1"
"146","Jaden McDaniels","Min","F","22.5","72","30.6","15.8","13.4","139","0.741","406","0.591","245","0.392","0.59","0.612","12.1","3.9","2","0.9","1","1.4","16","14.1","18","6","116.4","107.6"
"147","Jakob Poeltl","San","C","27.4","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.2","110.7"
"148","Marvin Bagley III","Det","F","24","36","23.5","20.4","10.8","88","0.739","275","0.589","54","0.259","0.556","0.586","12","6.7","0.8","0.5","0.8","1.1","18.7","12.8","19.5","6.8","117.8","111.6"
"149","Caris LeVert","Cle","G","28.6","70","30","19","13.8","172","0.733","401","0.459","303","0.38","0.506","0.538","12","3.8","3.9","1","0.3","1.6","15.8","15.9","19.7","7.5","110.4","106.3"
"150","Keegan Murray","Sac","F","22.6","72","29.8","15.8","7.6","78","0.756","246","0.52","449","0.41","0.581","0.594","12","4.6","1.2","0.8","0.5","0.8","16.6","13.2","17.8","5.4","117.5","112.9"
"151","Max Strus","Mia","G-F","27","73","29.1","17.7","7.8","87","0.885","218","0.569","527","0.343","0.531","0.554","11.9","3.3","2.2","0.6","0.2","0.9","15.2","14.1","17.4","6.1","113","110.2"
"152","Malik Beasley","Lal","G","26.3","19","25.8","21.2","10.4","12","0.583","66","0.455","149","0.349","0.502","0.506","11.7","3.5","1.3","0.9","0","1.3","15.3","13","16.5","5.8","95","111.5"
"153","Kyle Lowry","Mia","G","37","50","32.2","16.8","17.6","123","0.854","168","0.506","291","0.351","0.519","0.566","11.6","4.2","5.1","1","0.4","2","15.8","16.8","20.9","7.8","114","107.5"
"154","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","110.6","116.8"
"155","Zach Collins","San","F-C","25.4","60","22.6","21.1","19.4","137","0.759","371","0.569","136","0.382","0.57","0.601","11.4","6.3","2.8","0.6","0.7","2","17.7","14.2","20.5","10.4","112.5","107.4"
"156","Marcus Smart","Bos","G","29.1","57","32.3","17.6","19.8","115","0.757","244","0.516","309","0.333","0.507","0.537","11.4","3.2","6.4","1.5","0.4","2.4","14.5","17.7","20.9","7.6","110.5","106"
"157","John Wall","Lac","G","32.6","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102.1","109.6"
"158","Kris Dunn","Uta","G","29","14","23.4","20.7","13.3","28","0.75","102","0.51","28","0.393","0.527","0.555","11.3","4.2","5.2","1.1","0.4","1.4","15.5","16.5","20.7","10.7","119.2","105.9"
"159","Naz Reid","Min","C-F","23.6","66","18.3","24.6","14.1","118","0.686","344","0.66","208","0.341","0.604","0.619","11.3","4.9","1.1","0.6","0.8","1.4","16.2","12.5","17.3","8.6","112.5","100.4"
"160","Isaiah Stewart","Det","F-C","21.8","50","28.3","17.3","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.7","110.7"
"161","Marcus Morris Sr.","Lac","F","33.6","65","28.1","17.7","8","87","0.782","336","0.482","307","0.365","0.513","0.534","11.2","4","1.8","0.6","0.3","0.9","15.2","13","16.9","6.1","108.3","110.1"
"162","Saddiq Bey","Atl","F","24","18","24.3","17.1","7.8","25","0.84","68","0.471","86","0.442","0.578","0.603","11.1","4.4","1","0.6","0.1","0.7","15.5","12.1","16.5","6","122","113.9"
"163","Terrence Ross","Pho","G-F","32.1","13","18.8","20.9","3.5","11","0.818","42","0.571","69","0.42","0.608","0.622","11.1","3.1","1.7","0.6","0","0.3","14.2","12.8","15.8","8.3","129","101.7"
"164","Moritz Wagner","Orl","F-C","25.9","52","20.2","21.2","13.9","178","0.843","222","0.635","156","0.308","0.563","0.631","11.1","4.7","1.6","0.7","0.2","1.2","15.8","12.6","17.3","8.7","123.9","103.3"
"165","Kentavious Caldwell-Pope","Den","G","30.1","71","31.6","14","11.7","118","0.822","296","0.51","297","0.428","0.576","0.605","11","2.8","2.5","1.5","0.4","1.1","13.8","13.5","16.3","5.4","118.2","112.1"
"166","Jeremy Sochan","San","F","19.9","56","26","19.9","14.9","116","0.698","418","0.519","134","0.246","0.483","0.509","11","5.3","2.5","0.8","0.4","1.7","16.2","13.5","18.8","8.1","102.7","113.5"
"167","Bruce Brown","Den","G-F","26.6","73","28.1","17.3","15.1","117","0.744","411","0.547","237","0.367","0.549","0.57","10.9","4","3.3","1","0.6","1.6","15","14.2","18.3","7.5","112","108.8"
"168","Josh Hart","Nyk","G","28.1","18","30.3","12.8","18.8","45","0.8","74","0.622","42","0.548","0.694","0.725","10.9","6.7","3.8","1.4","0.4","1.5","17.7","14.7","21.4","8.6","139.7","106.2"
"169","Reggie Jackson","Lac","G","32.9","52","25.7","20.8","15.8","66","0.924","292","0.469","220","0.35","0.493","0.523","10.9","2.2","3.5","0.7","0.1","1.8","13.1","14.4","16.6","6.8","103.2","112"
"170","Cam Reddish","Por","F-G","23.6","19","27.7","17.9","15.6","41","0.829","81","0.556","86","0.326","0.521","0.562","10.9","2.9","1.9","1.3","0.3","1.6","13.9","12.9","15.8","5.7","106.3","113.7"
"171","Grayson Allen","Mil","G","27.5","68","27.6","14.9","11.4","123","0.911","185","0.524","353","0.405","0.579","0.621","10.8","3.3","2.2","0.9","0.2","1","14.1","13","16.4","6.2","124.5","109"
"172","Eric Gordon","Lac","G","34.3","16","25.8","16","10","28","0.786","52","0.519","73","0.438","0.6","0.626","10.8","1.8","2.2","0.6","0.4","0.9","12.6","12.9","14.8","5.4","123","112.8"
"173","Jaylen Nowell","Min","G","23.7","64","19.3","24.9","9.4","97","0.784","385","0.54","228","0.289","0.501","0.526","10.8","2.6","2","0.7","0.1","1","13.4","12.8","15.4","7.9","106","110.7"
"174","Mike Conley","Uta","G","35.5","43","29.7","16.1","16.5","96","0.813","162","0.469","213","0.362","0.511","0.552","10.7","2.5","7.7","1","0.2","1.7","13.2","18.4","20.9","8","123.3","114"
"175","Cameron Payne","Pho","G","28.6","42","21.1","24.7","16","59","0.746","238","0.45","172","0.372","0.495","0.516","10.7","2.3","4.7","0.7","0.2","1.9","13","15.4","17.7","9.2","105.9","109.1"
"176","Jalen McDaniels","Cha","F-C","25.2","56","26.7","17.4","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.4","106.6"
"177","Tyus Jones","Mem","G","26.9","74","24","17.9","9.3","94","0.798","363","0.493","296","0.389","0.533","0.555","10.5","2.4","5","1","0.1","0.9","12.9","15.6","18","8.4","123.2","114.6"
"178","Cam Thomas","Bro","G","21.5","53","16.8","27.6","12.1","166","0.861","297","0.468","124","0.363","0.49","0.563","10.5","1.7","1.5","0.4","0.1","1.1","12.2","11.9","13.7","7.1","108","114.4"
"179","Ivica Zubac","Lac","C","26","69","28.8","14.5","19.1","209","0.708","458","0.631","2","0","0.628","0.658","10.5","10","1.1","0.4","1.3","1.6","20.5","11.6","21.6","6.8","126.3","104.9"
"180","De'Anthony Melton","Phi","G","24.8","71","28.1","16.4","13.3","78","0.808","230","0.487","377","0.398","0.555","0.575","10.4","4.2","2.7","1.7","0.5","1.3","14.5","13.1","17.2","7","113.1","105.3"
"181","Corey Kispert","Was","F","24.1","67","28","13.5","9.5","72","0.847","169","0.639","326","0.42","0.633","0.653","10.3","2.8","1.2","0.5","0.1","0.8","13.1","11.5","14.3","4.7","123.2","116.4"
"182","Monte Morris","Was","G","27.7","60","27.6","15.5","10.8","76","0.829","300","0.537","195","0.39","0.556","0.58","10.2","3.4","5.2","0.7","0.2","1","13.6","15.4","18.8","8.2","124.8","115.3"
"183","Quentin Grimes","Nyk","G","22.9","64","29.1","13.9","11.1","83","0.795","166","0.627","337","0.371","0.58","0.601","10.1","3.1","1.9","0.6","0.4","1","13.2","12.1","15.2","5.4","120.9","110.2"
"184","Luke Kennard","Mem","G","26.8","18","22.3","13.8","8.6","16","0.938","21","0.333","95","0.537","0.72","0.74","10.1","2.7","2.1","0.6","0","0.6","12.8","12.2","14.8","6.9","143.8","109.8"
"185","Victor Oladipo","Mia","G","30.9","38","26.7","19.9","17.4","71","0.761","172","0.471","178","0.315","0.471","0.504","10.1","3.2","3.4","1.4","0.3","1.9","13.3","13.5","16.7","7.2","98.6","106"
"186","Brandon Clarke","Mem","F","26.5","56","19.5","17.7","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","131.1","100.4"
"187","Caleb Martin","Mia","F","27.5","64","29.6","14.6","12.3","106","0.802","285","0.537","221","0.371","0.545","0.576","10","5","1.6","1","0.5","1.1","14.9","11.6","16.5","5.8","114.2","108.6"
"188","Doug McDermott","San","F","31.2","62","20.6","19","10.4","61","0.738","215","0.512","286","0.416","0.576","0.589","10","2.2","1.5","0.2","0.1","0.9","12.2","11.5","13.7","6.2","112","116.6"
"189","Patrick Williams","Chi","F","21.6","74","28.4","15.5","13.6","98","0.867","359","0.493","243","0.416","0.546","0.575","10","4.1","1.2","0.9","0.8","1.3","14.1","11.3","15.4","5.2","108.5","110"
"190","Bones Hyland","Lac","G","22.5","7","17.3","27.6","12.6","12","0.75","29","0.414","33","0.364","0.484","0.513","9.9","3.4","3.1","0.6","0.1","1.3","13.3","13","16.4","10.9","109.3","100.9"
"191","Aaron Nesmith","Ind","G-F","23.4","66","24.6","16.9","11.7","120","0.85","247","0.514","282","0.351","0.521","0.561","9.9","3.8","1.3","0.7","0.4","1.1","13.7","11.2","15","5.9","109.9","108"
"192","Killian Hayes","Det","G","21.7","68","27.4","20.4","17.6","79","0.81","458","0.421","253","0.285","0.423","0.447","9.8","2.8","6.2","1.4","0.4","2.2","12.6","16","18.7","8.1","97.5","110.8"
"193","Jalen Suggs","Orl","G","21.8","46","23.7","20.1","17.6","103","0.709","214","0.505","169","0.32","0.493","0.526","9.8","2.9","3.1","1.3","0.5","1.8","12.7","12.9","15.8","7.5","105.1","106.7"
"194","Al Horford","Bos","C-F","36.8","59","30.7","11.7","7.3","21","0.714","146","0.541","295","0.454","0.635","0.639","9.7","6.3","2.9","0.5","0.9","0.6","16","12.7","18.9","7.3","134.3","108.4"
"195","Onyeka Okongwu","Atl","F-C","22.3","73","23.3","14.7","13.8","170","0.759","441","0.649","8","0.25","0.644","0.675","9.7","7.2","1","0.7","1.3","1","16.9","10.7","17.9","7.1","135","103.6"
"196","Seth Curry","Bro","G","32.6","55","20.8","19.2","10.3","48","0.979","204","0.52","221","0.407","0.567","0.593","9.6","1.7","1.7","0.6","0.1","0.9","11.4","11.4","13.1","5.8","113","112.3"
"197","Jonathan Kuminga","Gol","F","20.5","61","20.5","19.9","16.4","120","0.65","316","0.579","136","0.353","0.564","0.582","9.6","3.3","1.8","0.6","0.4","1.5","13","11.5","14.8","7.5","109.4","107.1"
"198","Josh Hart","Por","G","28.1","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","122.1","111.2"
"199","Sandro Mamukelashvili","San","F-C","23.8","12","21.8","18.9","11","23","0.696","55","0.509","42","0.333","0.505","0.532","9.5","6.1","2.1","0.4","0.3","1","15.6","11.6","17.7","9.1","114.6","112.1"
"200","Naji Marshall","Nor","F","25.2","69","24.4","17.6","14.3","161","0.795","322","0.519","211","0.308","0.496","0.544","9.5","3.7","2.5","0.7","0.2","1.3","13.2","12","15.8","7.3","109.3","110"
"201","T.J. Warren","Bro","F","29.6","26","18.9","20.9","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.6","109.3"
"202","Chris Boucher","Tor","F-C","30.2","69","20.1","17.9","7.2","155","0.755","305","0.593","173","0.329","0.558","0.595","9.4","5.7","0.4","0.7","0.9","0.5","15.2","9.8","15.6","5.5","126.7","106.6"
"203","Malaki Branham","San","F","19.9","59","23.1","18.4","12","54","0.815","293","0.536","218","0.303","0.501","0.52","9.4","2.7","1.9","0.5","0.1","1.2","12.1","11.4","14","6.3","102.1","117.2"
"204","Josh Green","Dal","G","22.4","55","25.6","15.1","15.9","93","0.72","202","0.634","158","0.405","0.622","0.642","9.4","2.9","1.7","0.7","0.1","1.2","12.3","11.1","14","5.6","119.6","109.4"
"205","Herbert Jones","Nor","F","24.5","58","28.9","14.6","14.9","142","0.739","288","0.542","147","0.293","0.507","0.549","9.4","4","2.4","1.6","0.6","1.3","13.4","11.8","15.8","6.2","112.4","103.8"
"206","Gabe Vincent","Mia","G","26.8","61","26.2","17.5","14.8","74","0.892","192","0.51","318","0.327","0.498","0.529","9.4","2.1","2.4","0.9","0.1","1.5","11.5","11.8","14","5.5","102.5","107.6"
"207","Hamidou Diallo","Det","G","24.7","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.5","107.1"
"208","Tari Eason","Hou","F","21.9","75","21.1","19.4","13.5","136","0.743","436","0.5","153","0.353","0.508","0.539","9.3","5.9","1","1.1","0.6","1.2","15.2","10.3","16.2","7.2","110.8","108.4"
"209","Rui Hachimura","Lal","F","25.1","26","22.6","16.8","6.2","49","0.735","143","0.524","55","0.345","0.523","0.553","9.3","4.4","0.6","0.3","0.3","0.5","13.7","9.9","14.3","5.1","113.1","113.1"
"210","Talen Horton-Tucker","Uta","G","22.3","60","19.1","24.4","18.1","129","0.752","332","0.482","171","0.275","0.458","0.498","9.3","3","3.5","0.6","0.5","1.9","12.3","12.8","15.9","9.6","102.2","110.9"
"211","Landry Shamet","Pho","G","26","34","21.2","19.1","11.2","47","0.894","88","0.398","180","0.378","0.511","0.547","9.3","1.6","2.1","0.7","0.1","1","10.9","11.4","13.1","5.9","110.7","111.8"
"212","Coby White","Chi","G","23.1","66","23","17.5","10.4","63","0.857","206","0.515","308","0.373","0.542","0.564","9.3","2.7","2.5","0.8","0.1","0.9","12","11.7","14.5","6.9","112.1","109"
"213","Kyle Anderson","Min","F-G","29.5","62","27.9","14.4","17.5","132","0.735","341","0.531","92","0.413","0.55","0.583","9.2","5.3","4.7","1.2","0.9","1.5","14.6","13.9","19.3","8.8","119.9","109"
"214","Santi Aldama","Mem","F-C","22.2","71","22","15.9","9.6","131","0.74","235","0.596","255","0.349","0.558","0.588","9.1","4.7","1.3","0.6","0.6","0.7","13.8","10.3","15","6.9","120.4","105.5"
"215","Donte DiVincenzo","Gol","G","26.2","66","26.3","14.8","16.8","59","0.847","142","0.486","347","0.398","0.564","0.585","9.1","4.3","3.3","1.3","0.2","1.5","13.5","12.4","16.8","7.7","115.2","110.5"
"216","Dorian Finney-Smith","Dal","F","29.9","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.5","113.5"
"217","Isaiah Joe","Okc","G","23.7","67","18.4","17.1","6.5","74","0.838","90","0.544","353","0.422","0.615","0.638","9.1","2.4","1.2","0.6","0.1","0.5","11.4","10.3","12.6","6.5","127.7","110.7"
"218","Jalen Smith","Ind","F-C","23","63","18.3","21.2","12.8","128","0.773","280","0.586","176","0.273","0.518","0.557","9.1","5.7","1","0.3","0.9","1.1","14.7","10","15.7","8.2","112.4","107.7"
"219","Jae'Sean Tate","Hou","F","27.4","31","21.8","18.8","17","69","0.725","183","0.53","46","0.283","0.509","0.546","9.1","3.8","2.7","0.7","0.2","1.5","12.9","11.8","15.6","8.3","111.1","106.2"
"220","Jose Alvarado","Nor","G","25","61","21.5","19.8","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.5","106"
"221","Deni Avdija","Was","F","22.2","73","26.3","16.4","16.9","155","0.742","323","0.533","218","0.303","0.501","0.539","9","6.4","2.7","0.8","0.4","1.5","15.4","11.7","18.1","8.2","107.7","105.6"
"222","Bol Bol","Orl","C-F","23.4","67","21.4","17.8","19.3","100","0.76","343","0.644","99","0.293","0.598","0.622","9","5.8","0.9","0.4","1.2","1.6","14.8","9.9","15.7","6.7","108.3","109.4"
"223","Terance Mann","Lac","G-F","26.4","74","23","15.5","13","110","0.782","305","0.607","178","0.388","0.597","0.624","9","3.5","2.3","0.5","0.3","1","12.4","11.2","14.7","7.3","124.2","110.2"
"224","Taurean Prince","Min","F","29","49","21.8","16.9","16.4","65","0.862","161","0.571","169","0.396","0.583","0.615","9","2.4","1.7","0.5","0.3","1.3","11.4","10.7","13","6.1","110","108.4"
"225","Gary Payton II","Gol","G","30.3","1","15.5","13.2","0","2","1","2","1","2","0.5","0.875","0.922","9","2","1","0","1","0","11","10","12","6.8","193.3","123.2"
"226","Precious Achiuwa","Tor","F","23.5","48","21","18.8","13.4","118","0.686","256","0.551","86","0.244","0.504","0.541","8.9","5.9","1","0.5","0.6","1.1","14.8","9.8","15.7","7.1","110.5","107.1"
"227","Ayo Dosunmu","Chi","G","23.2","72","26.7","14.9","15.3","78","0.808","346","0.587","173","0.329","0.556","0.578","8.9","2.8","2.7","0.8","0.3","1.3","11.7","11.5","14.3","6.1","111.3","108.1"
"228","Walker Kessler","Uta","C","21.7","70","22.8","13","12.7","151","0.523","376","0.723","2","0.5","0.724","0.704","8.9","8.4","0.9","0.4","2.3","0.8","17.3","9.8","18.2","7.1","140.3","107.1"
"229","Andrew Nembhard","Ind","G-F","23.2","68","27.2","15.5","16.4","49","0.796","308","0.506","241","0.349","0.514","0.528","8.9","2.6","4.1","0.9","0.2","1.6","11.5","13","15.6","6.7","106.7","114"
"230","Royce O'Neale","Bro","F","29.8","70","31.9","13.5","16.1","67","0.731","166","0.38","381","0.394","0.527","0.542","8.9","5.1","3.6","0.9","0.7","1.5","14","12.6","17.6","6.9","108.6","108.3"
"231","Josh Richardson","Nor","G","29.5","15","24.7","15.9","12.5","21","0.762","49","0.469","63","0.381","0.527","0.553","8.9","2.5","2","1.7","0.5","1.1","11.4","10.9","13.4","5.7","110","105"
"232","Keita Bates-Diop","San","F","27.2","60","21.1","16","10.8","119","0.782","273","0.549","115","0.391","0.561","0.6","8.8","3.6","1.4","0.7","0.3","0.8","12.4","10.2","13.8","6.7","120","119.2"
"233","AJ Griffin","Atl","F","19.6","67","19.3","17.8","7","42","0.905","254","0.547","239","0.381","0.559","0.576","8.8","2.1","1","0.6","0.2","0.6","10.9","9.8","11.9","5.5","115.7","114.6"
"234","Eugene Omoruyi","Det","F","26.1","11","22.4","18.1","9.3","21","0.714","58","0.552","29","0.207","0.471","0.504","8.8","3.9","0.9","0.8","0.3","0.8","12.7","9.7","13.6","5.6","105.9","107.8"
"235","Cedi Osman","Cle","F","28","71","20.6","18","8.6","98","0.684","206","0.578","293","0.362","0.557","0.575","8.8","2.3","1.5","0.5","0.1","0.7","11.1","10.3","12.6","6.1","114.9","106.8"
"236","Aleksej Pokusevski","Okc","C","21.3","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.2","108.1"
"237","Dennis Smith Jr.","Cha","G","25.3","54","25.7","17.6","15.3","106","0.736","341","0.475","111","0.216","0.438","0.475","8.8","3.1","4.8","1.4","0.5","1.5","11.9","13.6","16.7","7.9","103.1","109.3"
"238","Jalen Duren","Det","C","19.4","59","24.6","13.8","17.9","132","0.621","338","0.639","2","0","0.635","0.646","8.7","8.7","1.2","0.6","0.9","1.3","17.4","9.9","18.6","7.3","127","108.2"
"239","Gary Harris","Orl","G","28.5","44","24.9","12.8","8.6","30","0.9","83","0.518","203","0.443","0.622","0.64","8.7","2","1.2","1","0.2","0.6","10.7","9.9","11.9","4.4","124.6","110.2"
"240","Steven Adams","Mem","C","29.7","42","27","14.6","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","118.1","102.8"
"241","Shaedon Sharpe","Por","G","19.8","73","21","17.3","10.8","77","0.688","289","0.571","224","0.366","0.561","0.575","8.6","2.6","0.8","0.5","0.3","0.8","11.3","9.5","12.1","5","110.8","114.3"
"242","Daniel Gafford","Was","F-C","24.5","73","20.2","14.7","17.5","169","0.657","349","0.731","0","0","0.731","0.733","8.5","5.3","1","0.4","1.3","1","13.8","9.5","14.9","7","136.7","106.2"
"243","Draymond Green","Gol","F","33.1","67","31.5","13.1","29","101","0.703","315","0.613","122","0.311","0.572","0.593","8.5","7.3","6.8","1","0.8","2.7","15.8","15.3","22.6","9.5","114.5","106.4"
"244","Jaden Hardy","Dal","G","20.7","41","14.3","26.5","11.8","73","0.836","146","0.452","129","0.403","0.524","0.568","8.5","1.7","1.2","0.3","0.1","0.9","10.2","9.7","11.4","7.2","107.6","109.6"
"245","Kevin Love","Cle","F-C","34.5","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","112","101.9"
"246","Mark Williams","Cha","C","21.3","39","18.2","16.9","13.7","88","0.682","213","0.638","0","0","0.638","0.659","8.5","6.7","0.5","0.6","1.1","0.9","15.2","9","15.7","6.7","126.5","102.8"
"247","Cam Reddish","Nyk","F-G","23.6","20","21.9","16.2","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113.1","111.6"
"248","Damion Lee","Pho","G-F","30.4","70","20.7","16.2","14.6","102","0.902","192","0.443","240","0.446","0.568","0.611","8.3","3.1","1.4","0.4","0.1","1.1","11.4","9.7","12.8","6.4","115.4","110.3"
"249","Shake Milton","Phi","G-F","26.5","70","20.3","18.2","15.6","107","0.85","316","0.528","134","0.396","0.548","0.587","8.3","2.5","2.8","0.3","0.2","1.2","10.8","11.2","13.7","7.6","116.1","110"
"250","Jarred Vanderbilt","Uta","F","24","52","24.1","14.1","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.8","105.5"
"251","Robert Williams III","Bos","C-F","25.4","31","23.7","12","15","36","0.639","157","0.745","1","0","0.741","0.739","8.3","8.5","1.4","0.5","1.2","0.9","16.8","9.7","18.2","7.8","147.1","103.8"
"252","Grant Williams","Bos","F","24.3","72","26.5","13","14.8","109","0.789","172","0.535","270","0.404","0.578","0.609","8.3","4.7","1.7","0.6","0.4","1.1","13","10","14.6","6.1","118.7","105.1"
"253","Georges Niang","Phi","F","29.8","71","19.4","17","9.5","44","0.864","104","0.567","353","0.399","0.592","0.608","8.2","2.4","1","0.4","0.2","0.7","10.5","9.2","11.6","5.6","114.3","107.2"
"254","Pat Connaughton","Mil","G","30.2","56","24.7","13.9","7.3","41","0.659","94","0.564","311","0.341","0.523","0.533","8.1","4.8","1.3","0.7","0.2","0.6","12.9","9.4","14.2","6","112.3","108.7"
"255","T.J. McConnell","Ind","G","31","70","20.1","18.7","21.9","63","0.841","412","0.541","54","0.426","0.553","0.575","8.1","3","5.1","1.1","0.1","1.9","11.1","13.2","16.3","9.9","114","114"
"256","Nick Richards","Cha","C","25.3","60","18.5","15.6","15.8","163","0.748","287","0.62","0","0","0.62","0.666","8","6.3","0.6","0.2","1.1","0.9","14.2","8.6","14.8","6.7","130","104.3"
"257","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.4","113.3"
